0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:56:37 +0900] "GET /Day4/board/edit.jsp HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:56:37 +0900] "GET /Day4/board/edit.jsp HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:56:37 +0900] "GET /Day4/board/edit.jsp HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:56:43 +0900] "GET /Day4/board/edit.jsp HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:56:43 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:56:45 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 1834
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:56:46 +0900] "GET /Day4/board/view.jsp?b_idx=6 HTTP/1.1" 200 1290
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:56:47 +0900] "GET /Day4/board/edit.jsp HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:35:56 +0900] "GET /Day4/board/edit.jsp HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:35:57 +0900] "GET /Day4/login.jsp HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:36:05 +0900] "POST /Day4/login_ok.jsp HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:36:06 +0900] "GET /Day4/login.jsp HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:36:07 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 1834
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:37:04 +0900] "GET /Day4/board/view.jsp?b_idx=2 HTTP/1.1" 200 1308
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:37:05 +0900] "GET /Day4/board/edit.jsp HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:37:09 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 1834
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:37:12 +0900] "GET /Day4/board/write.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:37:18 +0900] "POST /Day4/board/write_ok.jsp HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:37:19 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 2001
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:37:24 +0900] "GET /Day4/board/view.jsp?b_idx=8 HTTP/1.1" 200 1288
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:37:25 +0900] "GET /Day4/board/edit.jsp HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:37:29 +0900] "POST /Day4/board/edit_ok.jsp HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:37:30 +0900] "GET /Day4/board/view.jsp HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:37:31 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 2001
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:38:32 +0900] "GET /Day4/board/view.jsp?b_idx=6 HTTP/1.1" 200 1300
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:38:33 +0900] "GET /Day4/board/edit.jsp?b_idx=6 HTTP/1.1" 200 764
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:38:35 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 2001
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:38:36 +0900] "GET /Day4/board/view.jsp?b_idx=5 HTTP/1.1" 200 1300
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:38:37 +0900] "GET /Day4/board/edit.jsp?b_idx=5 HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:38:43 +0900] "POST /Day4/board/edit_ok.jsp HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:38:45 +0900] "GET /Day4/board/view.jsp HTTP/1.1" 200 1270
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:38:46 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 2001
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:38:47 +0900] "GET /Day4/board/view.jsp?b_idx=5 HTTP/1.1" 200 1300
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:38:50 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 2001
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:38:51 +0900] "GET /Day4/board/view.jsp?b_idx=7 HTTP/1.1" 200 1305
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:38:52 +0900] "GET /Day4/board/edit.jsp?b_idx=7 HTTP/1.1" 200 767
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:38:55 +0900] "POST /Day4/board/edit_ok.jsp HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:38:56 +0900] "GET /Day4/board/view.jsp HTTP/1.1" 200 1270
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:38:57 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 2001
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:38:58 +0900] "GET /Day4/board/view.jsp?b_idx=8 HTTP/1.1" 200 1298
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:38:59 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 2001
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:39:00 +0900] "GET /Day4/board/view.jsp?b_idx=7 HTTP/1.1" 200 1305
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:39:01 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 2001
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:40:14 +0900] "GET /Day4/board/view.jsp?b_idx=8 HTTP/1.1" 200 1298
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:40:15 +0900] "GET /Day4/board/edit.jsp?b_idx=8 HTTP/1.1" 200 582
